"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bahamas, The","BHS","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","217.017","214.075","211.132","208.403","205.673","202.944","200.214","197.485","194.951","192.417","189.883","187.349","184.815","182.461","180.107","177.753","175.399","173.044","170.856","168.667","166.479","164.291","162.102","160.066","158.03","155.994","153.958","151.922","150.848","149.774","148.7","147.626","146.551","146.406","146.26","146.114","145.968","145.822","144.428","143.034","141.64","140.247","138.853","137.558","136.264","134.97","133.676","132.382","130.391","128.401","126.411","124.421","122.431","121.208","119.986","118.763","117.541","",
"Bosnia and Herzegovina","BIH","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","175.124","171.976","168.829","165.163","161.498","157.832","154.166","150.5","146.607","142.715","138.822","134.929","131.036","127.778","124.519","121.26","118.001","114.742","113.709","112.676","111.644","110.611","109.578","108.531","107.484","106.436","105.389","104.342","104.614","104.886","105.158","105.43","105.702","102.253","98.805","95.356","91.907","88.459","86.101","83.742","81.384","79.026","76.668","75.798","74.928","74.058","73.188","72.318","71.406","70.493","69.581","68.668","67.756","66.767","65.777","64.788","63.799","",
"Belarus","BLR","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","104.508","104.837","109.131","104.983","97.257","99.013","96.91","100.426","96.185","98.177","101.534","98.002","100.316","99.88","98.305","102.083","103.144","103.425","106.934","106.096","109.571","107.353","107.542","108.222","112.707","109.449","98","99.587","98.93","101.869","107.204","110.009","115.429","125.084","125.791","131.102","128.355","130.663","130.867","134.829","125.352","130.341","137.386","130.918","128.981","127.984","122.493","115.618","111.716","113.303","112.172","114.428","97.577","95.303","90.016","","","",
"Belize","BLZ","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","222.28","215.95","209.619","203.711","197.802","191.894","185.985","180.077","174.464","168.851","163.238","157.626","152.013","147.234","142.456","137.677","132.899","128.121","125.452","122.784","120.116","117.448","114.78","112.538","110.295","108.053","105.811","103.569","109.037","114.506","119.975","125.444","130.913","133.848","136.784","139.719","142.655","145.59","145.916","146.242","146.568","146.894","147.22","145.414","143.608","141.802","139.996","138.19","137.806","137.422","137.038","136.654","136.27","133.726","131.183","128.639","126.096","",
"Bermuda","BMU","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","378.542","376.429","374.317","372.104","369.89","367.677","365.464","363.251","360.912","358.573","356.235","353.896","351.557","347.221","342.884","338.548","334.211","329.875","324.247","318.619","312.991","307.363","301.735","296.132","290.528","284.924","279.32","273.717","268.304","262.891","257.478","252.065","246.652","241.612","236.572","231.533","226.493","221.453","216.963","212.472","207.982","203.491","199","195.201","191.401","187.602","183.802","180.002","176.339","172.675","169.011","165.347","161.683","158.56","155.437","152.314","149.191","",
"Brazil","BRA","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","289.255","281.873","274.491","266.778","259.064","251.351","243.637","235.924","229.233","222.542","215.851","209.161","202.47","200.612","198.755","196.897","195.039","193.182","190.912","188.643","186.374","184.104","181.835","179.143","176.451","173.759","171.067","168.375","165.193","162.012","158.83","155.648","152.466","149.222","145.977","142.733","139.489","136.245","132.65","129.055","125.46","121.864","118.269","115.955","113.64","111.325","109.011","106.696","105.214","103.733","102.251","100.77","99.288","97.893","96.498","95.103","93.708","",
"Barbados","BRB","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","225.231","220.622","216.012","211.825","207.638","203.451","199.263","195.076","191.28","187.485","183.689","179.893","176.098","172.663","169.228","165.793","162.358","158.924","155.82","152.716","149.612","146.508","143.404","140.602","137.8","134.999","132.197","129.395","126.868","124.341","121.814","119.287","116.76","114.483","112.205","109.928","107.65","105.372","103.32","101.268","99.216","97.164","95.113","93.264","91.416","89.568","87.72","85.872","84.128","82.384","80.64","78.897","77.153","76.158","75.163","74.168","73.173","",
"Brunei Darussalam","BRN","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","215.399","211.242","207.085","202.77","198.455","194.139","189.824","185.509","181.624","177.738","173.853","169.968","166.082","162.591","159.1","155.609","152.117","148.626","145.494","142.362","139.23","136.098","132.966","130.16","127.354","124.548","121.742","118.936","116.424","113.913","111.401","108.89","106.378","104.132","101.886","99.64","97.394","95.148","93.14","91.133","89.125","87.117","85.11","83.316","81.523","79.729","77.935","76.142","76.142","76.142","76.142","76.142","76.142","75.114","74.085","73.057","72.029","",
"Bhutan","BTN","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","556.943","554.498","552.052","546.911","541.77","536.63","531.489","526.348","520.974","515.6","510.226","504.852","499.478","494.722","489.966","485.209","480.453","475.697","468.268","460.839","453.411","445.982","438.554","431.175","423.796","416.417","409.038","401.659","393.414","385.169","376.925","368.68","360.435","352.095","343.754","335.413","327.073","318.732","310.772","302.812","294.852","286.892","278.932","271.314","263.697","256.079","248.462","240.844","237.613","234.382","231.151","227.921","224.69","219.577","214.465","209.353","204.241","",
