"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bahrain","BHR","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","325.037","312.423","299.809","289.795","279.781","269.767","259.753","249.739","241.881","234.023","226.165","218.307","210.448","204.309","198.169","192.03","185.89","179.751","174.989","170.227","165.466","160.704","155.942","152.245","148.548","144.85","141.153","137.456","134.378","131.3","128.222","125.144","122.066","119.172","116.278","113.384","110.49","107.596","104.639","101.682","98.726","95.769","92.812","90.633","88.455","86.276","84.097","81.919","81.023","80.127","79.231","78.336","77.44","76.45","75.461","74.471","73.481","",
"Bahamas, The","BHS","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","284.281","283.422","282.562","281.742","280.923","280.103","279.284","278.464","277.681","276.898","276.115","275.332","274.549","273.799","273.049","272.3","271.55","270.8","270.08","269.36","268.641","267.921","267.201","266.509","265.817","265.125","264.433","263.741","262.385","261.028","259.672","258.316","256.96","255.59","254.22","252.85","251.48","250.11","246.29","242.469","238.648","234.827","231.007","228.17","225.333","222.497","219.66","216.823","214.281","211.739","209.197","206.655","204.113","202.214","200.314","198.415","196.516","",
"Bosnia and Herzegovina","BIH","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","247.839","245.509","243.179","240.819","238.458","236.097","233.737","231.376","228.578","225.781","222.984","220.186","217.389","214.448","211.507","208.565","205.624","202.683","202.316","201.949","201.582","201.215","200.848","199.092","197.335","195.579","193.822","192.066","203.188","214.31","225.431","236.553","247.675","232.518","217.362","202.206","187.049","171.893","168.29","164.687","161.084","157.481","153.878","151.408","148.939","146.47","144.001","141.531","139.815","138.099","136.382","134.666","132.95","131.082","129.214","127.346","125.478","",
"Belarus","BLR","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","204.648","198.55","203.929","199.643","193.617","198.208","198.791","202.676","208.434","216.682","226.438","226.106","230.376","230.299","232.669","248.697","254.901","260.783","265.546","276.739","277.666","279.245","279.052","282.476","298.335","275.592","241.941","246.373","250.123","273.425","281.969","294.256","310.876","343.279","348.423","363.765","358.58","360.663","370.635","375.945","354.113","369.589","383.46","372.831","362.672","369.258","355.898","332.976","334.161","330.076","334.251","336.493","287.348","273.772","261.32","","","",
"Belize","BLZ","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","262.636","255.815","248.994","241.699","234.404","227.11","219.815","212.52","206.914","201.308","195.702","190.096","184.49","183.211","181.933","180.654","179.376","178.097","175.989","173.881","171.773","169.664","167.556","166.555","165.554","164.554","163.553","162.552","170.43","178.309","186.187","194.065","201.944","208.259","214.574","220.889","227.205","233.52","235.972","238.424","240.876","243.328","245.78","241.688","237.596","233.504","229.412","225.32","225.59","225.86","226.13","226.4","226.67","224.562","222.454","220.346","218.238","",
"Bermuda","BMU","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","421.504","419.215","416.927","414.905","412.884","410.862","408.84","406.819","404.786","402.754","400.722","398.69","396.657","393.281","389.905","386.528","383.152","379.776","374.808","369.84","364.872","359.903","354.935","350.079","345.223","340.368","335.512","330.656","325.961","321.267","316.573","311.878","307.184","302.697","298.209","293.722","289.235","284.747","280.535","276.323","272.111","267.9","263.688","259.836","255.983","252.131","248.279","244.427","240.307","236.186","232.066","227.946","223.826","221.459","219.093","216.726","214.36","",
"Brazil","BRA","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","320.476","314.4","308.325","303.449","298.574","293.698","288.822","283.946","281.994","280.041","278.088","276.135","274.183","276.247","278.311","280.376","282.44","284.505","286.123","287.741","289.359","290.977","292.595","293.102","293.608","294.114","294.62","295.126","293.403","291.68","289.956","288.233","286.51","281.793","277.076","272.36","267.643","262.926","257.794","252.662","247.531","242.399","237.267","233.267","229.267","225.268","221.268","217.268","214.047","210.825","207.604","204.383","201.161","198.648","196.135","193.622","191.109","",
"Barbados","BRB","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","294.136","289.485","284.835","280.508","276.181","271.854","267.527","263.2","259.183","255.165","251.148","247.131","243.114","239.391","235.668","231.945","228.222","224.499","221.054","217.609","214.164","210.719","207.274","204.091","200.907","197.724","194.54","191.357","188.418","185.479","182.54","179.601","176.662","173.951","171.24","168.529","165.818","163.107","160.608","158.109","155.61","153.111","150.612","148.31","146.007","143.705","141.402","139.1","136.983","134.866","132.75","130.633","128.516","127.017","125.518","124.019","122.52","",
"Brunei Darussalam","BRN","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","262.789","258.09","253.39","248.923","244.455","239.988","235.52","231.053","226.939","222.825","218.711","214.598","210.484","206.705","202.926","199.147","195.368","191.589","188.125","184.661","181.197","177.734","174.27","171.1","167.931","164.761","161.592","158.422","155.527","152.632","149.736","146.841","143.945","141.304","138.663","136.021","133.38","130.738","128.332","125.925","123.518","121.111","118.704","116.513","114.322","112.131","109.94","107.749","107.749","107.749","107.749","107.749","107.749","106.209","104.669","103.129","101.589","",
"Bhutan","BTN","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","577.12","573.703","570.285","564.143","558.001","551.859","545.717","539.576","533.273","526.97","520.668","514.365","508.062","502.074","496.086","490.098","484.11","478.122","470.028","461.933","453.839","445.745","437.651","429.732","421.814","413.896","405.978","398.059","389.502","380.945","372.388","363.832","355.275","346.786","338.298","329.81","321.322","312.834","304.866","296.899","288.931","280.963","272.996","265.481","257.967","250.452","242.938","235.423","231.46","227.497","223.534","219.571","215.608","212.623","209.638","206.653","203.668","",
"Botswana","BWA","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","398.717","394.412","390.107","386.096","382.085","378.074","374.063","370.052","364.196","358.341","352.486","346.63","340.775","333.724","326.672","319.621","312.57","305.519","300.136","294.753","289.37","283.987","278.604","279.099","279.594","280.089","280.584","281.079","299.803","318.526","337.25","355.974","374.698","416.661","458.625","500.589","542.552","584.516","594.964","605.413","615.861","626.31","636.758","606.848","576.937","547.027","517.116","487.206","465.814","444.422","423.03","401.638","380.246","354.351","328.456","302.561","276.666","",
"Central African Republic","CAF","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","523.5","518.782","514.064","508.265","502.466","496.667","490.868","485.069","477.001","468.933","460.865","452.796","444.728","437.005","429.282","421.558","413.835","406.112","403.009","399.906","396.803","393.699","390.596","392.504","394.413","396.321","398.229","400.137","409.147","418.158","427.168","436.178","445.189","459.316","473.443","487.57","501.697","515.824","523.973","532.121","540.27","548.418","556.566","548.023","539.48","530.937","522.394","513.851","503.974","494.097","484.22","474.343","464.465","451.884","439.302","426.72","414.138","",
"Canada","CAN","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","192.904","190.738","191.176","191.777","191.411","192.071","193.638","193.087","189.657","190.275","187.213","186.366","187.999","189.682","188.245","184.981","181.097","179.822","176.137","171.143","164.047","159.253","152.953","148.802","142.362","142.101","139.795","135.683","131.234","130.055","127.265","124.692","123.388","123.608","119.139","118.514","113.634","109.329","105.582","104.092","100.968","99.42","96.861","96.894","94.67","94.328","91.915","91.701","89.926","87.745","85.408","81.369","","","","","","",
"Central Europe and the Baltics","CEB","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","200.069837364381","197.136975630898","199.434216297185","197.116642464602","192.19988886402","193.197345632529","193.171858948738","198.648506120176","200.801007662229","205.893178163166","205.165462004471","209.591821133457","204.718690990985","206.893482980497","207.242711035052","214.079057258704","218.557603269846","224.001982073137","229.432521378202","231.434178524361","240.262668951603","235.218623424922","234.62690576972","241.077716174565","245.341082978885","246.51088276554","243.078628420096","242.838147447471","242.217356876318","250.723978059167","257.003064747427","261.657229039996","263.064000982688","260.411421227635","260.88103448908","258.893806785454","248.512359309518","246.763558816799","243.523127702026","238.674828479716","229.130264740757","223.641913461877","219.126099155493","216.212591909015","214.176165042916","213.928717930712","211.956127193406","209.956638226288","203.484523063044","195.841531974121","189.578061633377","182.959573318382","177.803316140853","171.53774823074","165.63097585742","","","",
"Switzerland","CHE","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","178.541","180.71","184.109","185.156","176.231","168.052","171.055","166.476","167.929","168.343","166.294","162.011","159.283","152.144","150.469","153.598","149.911","149.943","149.744","146.73","144.903","143.998","144.593","140.489","135.582","132.053","130.017","130.331","127.245","127.467","126.578","129.772","126.065","119.258","118.927","117.641","108.849","107.096","104.051","97.263","99.349","94.508","92.024","90.369","87.127","83.978","80.433","78.37","75.404","75.978","71.01","68.462","66.947","66.923","63.425","","","",
"Channel Islands","CHI","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","183.374","182.651","181.927","180.527","179.126","177.726","176.325","174.925","173.796","172.668","171.539","170.41","169.282","167.168","165.055","162.941","160.828","158.715","155.542","152.37","149.198","146.026","142.853","140.281","137.709","135.137","132.565","129.993","126.96","123.927","120.895","117.862","114.829","112.308","109.787","107.266","104.745","102.223","99.147","96.07","92.994","89.917","86.841","84.064","81.288","78.512","75.736","72.96","71.146","69.331","67.517","65.702","63.888","62.635","61.383","60.131","58.878","",
"Chile","CHL","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","332.087","330.47","328.853","326.571","324.289","322.007","319.725","317.443","312.358","307.273","302.188","297.104","292.019","285.896","279.773","273.65","267.528","261.405","255.317","249.23","243.142","237.055","230.967","223.624","216.281","208.937","201.594","194.251","188.275","182.298","176.322","170.346","164.37","161.433","158.496","155.559","152.623","149.686","147.202","144.719","142.235","139.752","137.269","135.134","133","130.866","128.732","126.598","124.727","122.857","120.986","119.116","117.245","115.015","112.784","110.554","108.323","",
"China","CHN","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","499.659","497.798","495.937","459.408","422.879","386.349","349.82","313.291","297.064","280.838","264.612","248.386","232.16","221.847","211.534","201.221","190.908","180.596","177.449","174.302","171.155","168.008","164.861","161.681","158.501","155.321","152.141","148.961","148.383","147.805","147.228","146.65","146.073","144.644","143.216","141.788","140.36","138.932","133.831","128.73","123.629","118.528","113.427","111.762","110.097","108.432","106.767","105.102","103.557","102.013","100.468","98.924","97.379","96.063","94.746","93.429","92.112","",
"Cote d'Ivoire","CIV","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","480.763","476.879","472.996","470.643","468.29","465.937","463.584","461.231","453.135","445.039","436.942","428.846","420.75","414.033","407.316","400.6","393.883","387.166","382.785","378.404","374.023","369.642","365.261","362.99","360.719","358.448","356.178","353.907","360.203","366.498","372.794","379.09","385.386","397.332","409.279","421.225","433.172","445.118","453.627","462.136","470.644","479.153","487.662","479.219","470.776","462.333","453.89","445.448","442.43","439.412","436.395","433.377","430.359","425.524","420.689","415.854","411.019","",
"Cameroon","CMR","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","462.007","456.931","451.855","446.984","442.112","437.241","432.37","427.499","422.539","417.58","412.621","407.661","402.702","397.668","392.634","387.6","382.566","377.532","373.858","370.185","366.511","362.838","359.165","359.351","359.538","359.725","359.912","360.099","366.272","372.445","378.617","384.79","390.963","398.725","406.488","414.25","422.012","429.775","428.301","426.827","425.353","423.879","422.405","414.569","406.732","398.896","391.059","383.222","382.114","381.006","379.897","378.789","377.681","370.33","362.98","355.63","348.28","",
"Congo, Dem. Rep.","COD","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","470.331","467.852","465.373","462.292","459.212","456.131","453.05","449.97","445.963","441.956","437.949","433.942","429.935","428.017","426.099","424.181","422.263","420.345","417.23","414.115","411","407.885","404.77","402.674","400.578","398.482","396.386","394.29","391.719","389.147","386.576","384.004","381.433","382.767","384.1","385.434","386.767","388.101","382.336","376.571","370.806","365.04","359.275","352.011","344.746","337.481","330.217","322.952","317.672","312.393","307.113","301.834","296.554","292.488","288.421","284.355","280.288","",
"Congo, Rep.","COG","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","386.669","380.665","374.66","370.423","366.186","361.948","357.711","353.474","349.982","346.49","342.998","339.506","336.014","333.403","330.793","328.182","325.572","322.961","321.116","319.271","317.427","315.582","313.737","316.271","318.805","321.339","323.873","326.407","335.289","344.171","353.053","361.935","370.816","381.284","391.752","402.219","412.687","423.154","424.688","426.221","427.754","429.288","430.821","415.589","400.358","385.126","369.894","354.662","344.187","333.711","323.236","312.76","302.285","294.847","287.41","279.972","272.535","",
"Colombia","COL","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","297.543","292.653","287.763","284.217","280.67","277.124","273.577","270.031","268.21","266.389","264.568","262.747","260.926","259.507","258.088","256.669","255.25","253.831","252.555","251.278","250.002","248.726","247.45","248.347","249.245","250.142","251.04","251.937","255.321","258.706","262.09","265.474","268.859","263.326","257.793","252.261","246.728","241.195","237.494","233.793","230.093","226.392","222.691","219.663","216.635","213.607","210.579","207.551","205.236","202.921","200.607","198.292","195.977","194.263","192.549","190.835","189.12","",
